mof,1s,2s,3s,4s,5s,6s,2p,3p,4p,5p,3d,4d,5d,4f,metal,nlinker,linker1smi,linker2smi,temperature,time,oxidation_state,solvent1,solvent2,solvent3, additive
AZAVUU_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,180,24,2,962,6228,0000,0000
AZAWAB_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,180,24,2,962,12051,0000,0000
GOXMEN_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,2,O=C(O)c1cc(N2CNc3ccccc32)cc(-n2ccnc2)c1,O=C(O)c1cc(-n2ccnc2)cc(-n2cnc3ccccc32)c1,180,24,2,962,0000,0000,14798
REYMOZ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,180,24,2,962,0000,0000,0000
RIFGAQ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,180,24,2,962,0000,0000,0000
PUWCOZ_clean,2,2,2,2,0,0,6,6,0,0,8,0,0,0,Ni,1,O=C(O)C12CC3(C(=O)O)CC(C(=O)O)(C1)CC(C(=O)O)(C2)C3,O=C(O)C12CC3(C(=O)O)CC(C(=O)O)(C1)CC(C(=O)O)(C2)C3,180,40,2,962,0000,0000,0000
WUCRUH_clean,2,2,2,2,0,0,6,6,0,0,6,0,0,0,Fe,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,180,48,2,962,0000,0000,14797
ASUKEE01_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,c1cc(-c2ccncc2)ccn1,c1cc(-c2ccncc2)ccn1,180,72,1,962,0000,0000,0000
DOKHUH_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,2,Cc1c(C(=O)O)c(C)c(C(=O)O)c(C)c1C(=O)O,c1cc(-c2ccncc2)ccn1,180,72,2,962,702,0000,0000
KEBDIG_charged,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,1,O=C(O)c1cc(-n2cnc3ccccc32)cc(-n2cnc3ccccc32)c1,O=C(O)c1cc(-n2cnc3ccccc32)cc(-n2cnc3ccccc32)c1,180,72,2,962,702,0000,313
LEDCAA_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,c1ccc(-c2n[nH]c(-c3ncn[nH]3)n2)nc1,c1ccc(-c2n[nH]c(-c3ncn[nH]3)n2)nc1,180,72,2,962,0000,0000,0000
NAGBUU_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,2,c1cc(-c2nnn[nH]2)ccn1,O=C(O)c1cc(C(=O)O)cc([N+](=O)[O-])c1,180,72,2,962,0000,0000,8471
NEKMUN_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,1,O=C(O)c1cc(Oc2ccccc2C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(Oc2ccccc2C(=O)O)cc(C(=O)O)c1,180,72,2,962,0000,0000,0000
POKGEC_clean,2,2,2,2,0,0,6,6,0,0,8,0,0,0,Ni,2,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,c1cn(-c2ccc(-n3ccnc3)cc2)cn1,180,72,2,962,0000,0000,14798
REYPIW_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,O=C(O)c1nn[nH]c1C(=O)O,c1cc(-c2ccncc2)ccn1,180,72,2,962,0000,0000,0000
UJEFOE01_clean,2,2,2,2,2,0,6,6,6,0,10,1,0,0,Y,1,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,180,72,3,962,0000,0000,313
WEGKIE_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,180,72,2,962,0000,0000,0000
AQIQAU_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1,O=C(O)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1,180,96,2,962,0000,0000,0000
DEGPEL_charged,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,c1nc[nH]n1,c1nc[nH]n1,180,120,2,962,0000,0000,0000
OXAMIK_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,1,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,180,120,2,962,0000,0000,14798
XIFLOP_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,CC(C)c1nc(C(=O)O)c(C(=O)O)[nH]1,CC(C)c1nc(C(=O)O)c(C(=O)O)[nH]1,180,120,2,962,0000,0000,0000
NOQKUB_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,2,O=C(O)c1nc[nH]c1C(=O)O,c1cc(-c2ccc(-c3ccc(-c4ccncc4)cc3)cc2)ccn1,180,144,2,962,174,0000,0000
VUQLEZ_charged,2,2,2,2,2,2,6,6,6,6,10,10,0,7,Eu,1,O=S(=O)(O)O,O=S(=O)(O)O,180,144,3,6228,0000,0000,0000
ISUGIN_clean,2,2,2,2,2,2,6,6,6,6,10,10,1,0,Gd,1,O=C(O)C1C=CC=NC1=O,O=C(O)C1C=CC=NC1=O,180,168,3,962,0000,0000,0000
MALWUU_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,180,168,2,962,0000,0000,0000
WURNOO_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2ccncc2)cc1,O=C(O)c1ccc(-c2ccncc2)cc1,180,312,2,962,0000,0000,0000
UCOCUM_neutral,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,200,16,2,962,0000,0000,0000
